"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","trades"
"TJEFEA-3M54W-2WW3JR","OGLAQK-ZXDYL-U42EQP","BTC/EUR","forex","2024-01-12 22:03:50.9808","buy","limit",39500.00000,149.99967,0.24000,0.00379746,0.00000,"","LGHIWN-Z6FRY-6LQDBX,LQUJJ4-WEL5A-SINNMY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TVZVKC-ZAQHC-SR4RI4","OBG7UK-EPB5M-AJMPL7","BTC/EUR","forex","2024-02-13 10:51:20.0041","buy","limit",46313.90000,144.73094,0.37630,0.00312500,0.00000,"initiated","L2PZOB-NJZWL-527F6N,LAEMNQ-4BSBM-XJP5SY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TFDR6Z-GEGQN-CUFOTY","OSGLVY-4REDY-GIAWU3","BTC/EUR","forex","2024-02-13 10:53:12.5904","sell","limit",46333.20000,21.22200,0.05518,0.00045803,0.00000,"initiated","LPY4ZC-2EDUT-5I5NGJ,L4IEUT-YJP7H-MOPXMU","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TBGLWU-LKUAY-FUBDDN","OSGLVY-4REDY-GIAWU3","BTC/EUR","forex","2024-02-13 10:53:17.2583","sell","limit",46330.50000,128.77887,0.20605,0.00277957,0.00000,"","LVEFY5-C3AFE-U63XDB,LZKLTL-GYL3V-3PQLO5","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TEIZLW-6MERF-WVQLGE","OGBZVY-BDDYU-6WY33D","BTC/EUR","forex","2024-02-21 11:35:03.3547","buy","limit",47300.50000,149.99982,0.24000,0.00317121,0.00000,"","LOY7FL-BC36E-SCGFBG,LVCFD2-IF2BM-2DYRVY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T5BWWM-Y4LUC-AHPNY7","O7E3QM-ENPS7-7VJYRQ","ETH/EUR","forex","2024-02-22 13:41:27.565","buy","limit",2719.91000,149.92337,0.38980,0.05512071,0.00000,"initiated","L2XE7L-SJGVV-OOXEZE,LHPVWB-DKZOV-2KKRJD","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TINCRX-YASYR-VSAXRO","OU3QCW-6TDMX-ARC4DY","BTC/EUR","forex","2024-03-04 15:44:11.5306","buy","limit",61109.90000,74.99346,0.19498,0.00122719,0.00000,"initiated","LI6HXX-NLIG2-IBM2LW,L6HHJ6-UFMDD-XIALF2","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"T3HNXK-OEEXH-M6JVKC","OBDZGG-DN354-G6J6WA","ETH/EUR","forex","2024-03-04 15:45:23.1049","buy","limit",3279.68000,74.97437,0.19493,0.02286027,0.00000,"initiated","LRXE4F-5YRZU-ORVLIE,LA23AV-NX4CF-7X5CLA","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TJQOPA-JIKRI-23V2FS","OKPPE2-ZTXIL-YVCBZC","ETH/EUR","forex","2024-03-04 16:26:34.477","buy","limit",3275.00000,89.81160,0.14370,0.02742339,0.00000,"","LF2V2P-HERNJ-TOBF3Q,LWXVAQ-QGJEY-7UGRNB","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
"TZF75I-RAYNZ-7GNRBS","OKPPE2-ZTXIL-YVCBZC","ETH/EUR","forex","2024-03-04 16:26:34.7433","buy","limit",3275.00000,60.18838,0.09630,0.01837813,0.00000,"","LK45LW-CQMDZ-EVJNBU,L7KY6L-R3O3B-IAX3PY","TKH2SE-M7IF5-CFI7LT","","","","","","","",""
